"","","2005-06 ","2006-07 ","2007-08 ","2008-09 ","2009-10 (1)","2010-11 (2)","2011-12 ","2012-13 ","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 "
"Total Unitary Authorities ","",270756.4,283342.1,296445.7,329795.8,325336.2,330697.4,317902.3,314685.8,306751.2,278887.3,271216.3,270500.3,265292.9,267073.9
"Total Unitary Authorities ","Isle of Anglesey ",8783,9575,9866,11065,10606,10781,10240,10393,10114,8746,9556,8494,8788,8285
"","Gwynedd ",15606,16570,17883,17893,18847,19946,19262,18736,17738,17397,15377,16056,14680,14725
"","Conwy ",9297,9702,10146,11018,11394.22,11197,10722.22,10328.41,9907.278,9633.211,9121.286,8607.122,8846.731,8053.297
"","Denbighshire ",7787,8396,8506.579,8996.382,10062.31,10133.7,9639.601,9074,9510.761,8651.984,9097.823,8595.111,9256.41,9565.399
"","Flintshire ",12013,11636,12154,16744,17106,14595.62,14756,16043.59,17682.72,15388.92,19712.12,18462.25,18874.34,18662.31
"","Wrexham ",10108,10506,10515.08,10932.57,11277.69,10925.72,9563.316,11408.39,10414.46,8440.827,8262.764,9129.154,8471.759,7849.235
"","Powys ",17064.48,19021.53,19913.52,21862.63,19004.26,17354.24,19131.72,18709.61,15767.78,12212,11963,11137,11685.79,12248.57
"","Ceredigion ",10252,11295,10913,12066,11550,12569,10922.81,11437.62,11812.82,11876.67,11642.85,10515.36,11030.77,10401.86
"","Pembrokeshire ",10243,11306,11499,12411,12709,15503,12476,12208,12240,10398,9410,9628,8300,9469
"","Carmarthenshire ",17144,17723,18444.56,19451.03,21659.34,24237.62,20681.51,20179.31,20376.96,19401.56,17228.74,16495.95,16622.75,16776.27
"","Swansea ",17207,17909,18898,20138,16425,19479,19614,19253,20150,21077,21258,25041,21733.57,22365.63
"","Neath Port Talbot ",12912.8,12727.58,12540,13457,14870.27,14714.98,14746,15283.35,15128.71,13923,13315.46,13023.06,13827.42,13780.76
"","Bridgend ",9210,10523,11206,11922,12925,13439.3,12201.23,12039.76,12775,11948.31,11702.83,11210.22,11135.73,12271.85
"","Vale of Glamorgan ",7765,8281,8355,9622,9840,10027,10852,10483,10207,9433,9545,9359,9961.355,8661.95
"","Rhondda Cynon Taf ",15655.61,13843.51,16956.47,24822.43,20063.64,18300.16,17889.84,18428.23,18972.76,17768.3,17173.43,16772.61,17179.33,18619.9
"","Merthyr Tydfil ",4169.811,4051.629,4231.246,4657.801,5368.049,5420.796,5741.971,5619.826,5804.218,5433.272,4955.889,5731.751,5151.347,5227.276
"","Caerphilly ",17749.1,20616.89,20001.28,21280,24835.02,21200.47,23271,22707.04,18031.7,17208.04,15561.91,14231.69,17260.5,16366.66
"","Blaenau Gwent ",6038.452,7143,7438,8011,7890.101,7409.423,6941.301,6542.938,5073.184,5510.545,5666.754,6269.454,6303.688,5573.199
"","Torfaen ",6103,6694,6866,7125,8360,8595,8759,8845,9813,8762,8419,8981,7961,7992
"","Monmouthshire ",6904.2,6509.911,9229,8951.956,7343.261,9871.423,7293.829,7533.589,6741.991,6954.902,6757.765,6228.367,5990.751,5618.675
"","Newport ",15491,15057.01,16649,18424,11982,12613,11688,10771.19,10579.67,10117.78,9701.41,12047.67,10175.94,11807.04
"","Cardiff ",33253,34255,34235,38945,41218,42384,41509,38661,37909.2,28605,25787.29,24484.54,22055.76,22753.01


