"","","2005-06 ","2006-07 ","2007-08 ","2008-09 ","2009-10 (1)","2010-11 (2)","2011-12 ","2012-13 ","2013-14 ","2014-15 ","2015-16 ","2016-17 ","2017-18 ","2018-19 "
"Total Unitary Authorities ","",14236.05,15070.36,17281.56,17635.15,17954.15,19998.09,21058.89,21754.95,22252.71,21815.83,22003.14,23430.63,24073.51,25844.38
"Total Unitary Authorities ","Isle of Anglesey ",210,330,476,388,290,277,293,275,303,299,337,358,351,379
"","Gwynedd ",552,759,1285,1116,1257,1331,1276,1294,1300,1100,1130,1135,1157,1135
"","Conwy ",703,939,1030,869,1205,985,923.766,807.603,812.067,759.922,827.782,915.938,954.178,1058.074
"","Denbighshire ",631,837,788.82,788.058,824.751,766.994,753.849,781,759,767,842,1052.634,1052.62,1069.461
"","Flintshire ",385,326,371,350,457,299,331,308.842,807.0831,458.2992,861.707,725.8859,678.484,399.706
"","Wrexham ",483.619,471.044,589.389,669.679,567.503,515.429,611.76,606.616,304.1623,579.7368,580.3312,838.0524,812.1624,664.535
"","Powys ",670.039,754.951,766.273,765.996,780.951,623.89,1006.31,848.9622,760.722,748,763,789,821.52,822.621
"","Ceredigion ",440,428,471,484,539,541,527.316,745.091,844.78,825.28,964.394,588.608,567.214,572.175
"","Pembrokeshire ",580,569,670,669,665,921,1072,1033,984,1029,1200,1270,1319,1370
"","Carmarthenshire ",1057,1086,1453.281,1590.938,1708.904,1780.78,1761.182,1649.687,1652.378,2025.534,1712.004,1764.262,2114.892,1924.997
"","Swansea ",2099,2153,2716,2750,2525,3012,3184,3166,3362,3220,3044,3199,3086.619,3697.283
"","Neath Port Talbot ",1036.4,1092.301,1104,1259,1301.479,1328.77,1381,1489.406,1261.585,1308,1167.756,1256.294,1331.721,1479.858
"","Bridgend ",511,510,554,542,530.48,658.839,621.582,837.674,860.902,1156.383,988.229,832.518,888.598,1006.724
"","Vale of Glamorgan ",290,304,404,354,419,339,442,556,902,637,578,632,686,706
"","Rhondda Cynon Taf ",660.934,734.996,640.953,588.719,655.004,665.119,731.793,812.405,991.065,864.274,794.365,790.796,905.616,1254.82
"","Merthyr Tydfil ",289.3528,320.5206,352.5993,344.7553,397.6298,380.6084,589.8187,544.5941,630.9492,651.133,518.726,504.046,510.397,404.013
"","Caerphilly ",373.07,340.53,388.65,399,377,561.9,415,497,490.7,522.77,511.91,657.84,550.429,990.27
"","Blaenau Gwent ",184.24,253,284.6,309,230.919,245.275,284.718,311.228,274.125,261.541,340.438,866.175,483.275,362.6569
"","Torfaen ",251,117,97,98,94,201,99,46,77,63,86,87,82,121
"","Monmouthshire ",483.4,373.02,366,481.002,550.534,595.487,541.793,686.008,597.906,509.712,489.976,593.581,670.785,667.304
"","Newport ",1022,1064,1057,1306,1068,885,937,866.829,588.953,556.245,502.5744,633.041,285.733,467.988
"","Cardiff ",1324,1308,1416,1513,1510,3084,3275,3592,3688.334,3474,3762.95,3940.961,4764.262,5290.893


